EVENT_ID,CZ_NAME_STR,BEGIN_LOCATION,BEGIN_DATE,BEGIN_TIME,EVENT_TYPE,MAGNITUDE,TOR_F_SCALE,DEATHS_DIRECT,INJURIES_DIRECT,DAMAGE_PROPERTY_NUM,DAMAGE_CROPS_NUM,STATE_ABBR,CZ_TIMEZONE,MAGNITUDE_TYPE,EPISODE_ID,CZ_TYPE,CZ_FIPS,WFO,INJURIES_INDIRECT,DEATHS_INDIRECT,SOURCE,FLOOD_CAUSE,TOR_LENGTH,TOR_WIDTH,BEGIN_RANGE,BEGIN_AZIMUTH,END_RANGE,END_AZIMUTH,END_LOCATION,END_DATE,END_TIME,BEGIN_LAT,BEGIN_LON,END_LAT,END_LON,EVENT_NARRATIVE,EPISODE_NARRATIVE,ABSOLUTE_ROWNUMBER
219390,MAGOFFIN (ZONE), ,04/10/2010,500,Frost/Freeze, , ,0,0,0,0,KY,EST-5, ,37700,Z,109,JKL,0,0,COOP Observer, , , , , , , , ,04/10/2010,1200, , , , ,"Widespread freeze occurred.","High pressure brought calm winds and clear skies to the eastern Kentucky coalfields during the overnight and early morning hours of April 10th. This synoptic pattern created ideal conditions for a widespread hard freeze. Cooperative weather observer reports and various surface observations from April 10th revealed that a widespread freeze did indeed occur in 26 of the 33 counties in the Jackson weather office county warning area.",11
219329,MAGOFFIN (ZONE), ,04/18/2010,500,Frost/Freeze, , ,0,0,0,0,KY,EST-5, ,37698,Z,109,JKL,0,0,COOP Observer, , , , , , , , ,04/18/2010,1200, , , , ,"Widespread frost occurred.","High pressure brought calm winds and clear skies to the eastern Kentucky coalfields during the overnight and early morning hours of April 18th. This synoptic pattern created ideal conditions for widespread frost. Cooperative weather observer reports and various surface observations from April 18th revealed that widespread frost did indeed occur across the entire 33 county area.",12
219362,MAGOFFIN (ZONE), ,04/19/2010,500,Frost/Freeze, , ,0,0,0,0,KY,EST-5, ,37699,Z,109,JKL,0,0,COOP Observer, , , , , , , , ,04/19/2010,1200, , , , ,"Widespread frost occurred.","High pressure brought calm winds and clear skies to the eastern Kentucky coalfields during the overnight and early morning hours of April 19th. This synoptic pattern created ideal conditions for widespread frost. Cooperative weather observer reports and various surface observations from April 19th revealed that widespread frost did indeed occur across the entire 33 county area.",13
219441,MAGOFFIN (ZONE), ,04/28/2010,500,Frost/Freeze, , ,0,0,0,0,KY,EST-5, ,37702,Z,109,JKL,0,0,COOP Observer, , , , , , , , ,04/28/2010,1300, , , , ,"Widespread frost occurred.","High pressure brought calm winds and clear skies to the eastern Kentucky coalfields during the overnight and early morning hours of April 28th. This synoptic pattern created ideal conditions for widespread frost. Cooperative weather observer reports and various surface observations from April 28th revealed that widespread frost did indeed occur in 31 of the 33 counties in the Jackson weather office forecast area.",14
219409,MAGOFFIN (ZONE), ,04/29/2010,500,Frost/Freeze, , ,0,0,0,0,KY,EST-5, ,37701,Z,109,JKL,0,0,COOP Observer, , , , , , , , ,04/29/2010,1200, , , , ,"Widespread frost occurred.","High pressure brought calm winds and clear skies to the eastern Kentucky coalfields during the overnight and early morning hours of April 29th. This synoptic pattern created ideal conditions for widespread frost. Cooperative weather observer reports and various surface observations from April 29th revealed that widespread frost did indeed occur in 19 of the 33 counties in the Jackson weather office forecast area.",15
236957,MAGOFFIN CO.,GIFFORD,05/03/2010,300,Flash Flood, , ,0,0,0,0,KY,EST-5, ,38451,C,153,JKL,0,0,Public,Heavy Rain, , ,1,ENE,1,E,GIFFORD,05/03/2010,500,37.7569,-83.0996,37.7514,-83.1036,"Streams and rivers were over roads and bridges in Salyersville.","A multiple lines and clusters of intense showers and strong to severe thunderstorms brought a variety of severe weather to eastern Kentucky on May 2nd and 3rd. During the late morning and late afternoon hours of May 2nd, multiple thunderstorms formed ahead of an approaching frontal boundary. These storms eventually merged into a line that stretched across the entire forecast area late in the day on the 2nd. During the overnight hours a large area of intense showers and thunderstorms dumped anywhere from 2 to over 7 inches of rainfall. Flooding was the primary issue during the overnight and early morning hours of May 3rd. Some areas felt the affects of the flooding as late in the week as May 7th.",16
223259,MAGOFFIN (ZONE), ,05/10/2010,200,Frost/Freeze, , ,0,0,0,0,KY,EST-5, ,38442,Z,109,JKL,0,0,COOP Observer, , , , , , , , ,05/10/2010,800, , , , ,"A widespread frost occurred.","Clear skies and calm winds allowed for a widespread frost to occur across eastern Kentucky during the predawn and early morning hours of May 10th. Cooperative weather observer reports and METAR observations confirmed the event.",17
228689,MAGOFFIN CO.,WHEELERSBURG,06/15/2010,1920,Thunderstorm Wind,52.00, ,0,0,5000,0,KY,EST-5,EG,39356,C,153,JKL,0,0,Trained Spotter, , , ,0,N,0,N,WHEELERSBURG,06/15/2010,1930,37.83,-83.02,37.83,-83.02,"Trees were blown down in Wheelersburg.","Scattered strong to severe thunderstorms produced numerous instances of wind damage, flooding, and hail across portions of eastern KY on June 15th.",18
228768,MAGOFFIN CO.,FRITZ,06/27/2010,1455,Thunderstorm Wind,52.00, ,0,0,5000,0,KY,EST-5,EG,39364,C,153,JKL,0,0,Emergency Manager, , , ,0,N,0,N,FRITZ,06/27/2010,1505,37.7,-83.15,37.7,-83.15,"Several trees were blown down along Rte 378 near Rte 30 in Fritz.","A line of strong and isolated severe thunderstorms moves across eastern KY during the afternoon hours of June 27th. The storms produced only isolated incidences of wind damage in Breathitt and Magoffin counties.",19
242950,MAGOFFIN (ZONE), ,08/04/2010,1100,Excessive Heat, , ,0,0,0,0,KY,EST-5, ,41680,Z,109,JKL,0,0,Official NWS Observations, , , , , , , , ,08/04/2010,1700, , , , ,"Excessive heat warning criteria were met with highs between 95 and 100 and heat indices between 105 and 115.","A large area of high pressure, both at the surface and aloft, brought record breaking heat to eastern Kentucky during the afternoon and evening hours of August 4th. High temperatures across the area were between 95 and 100 degrees for numerous locations. All 17 counties in the Excessive Heat Warning for that day met or exceeded warning criteria. In fact, the only county of the 33 counties covered by the Jackson weather office that did not meet heat warning criteria on August 4th was Letcher. Heat indices ran between 105 and 115, with a few areas approaching 120 degrees, on this day. The summer of 2010 will likely rank as one of if not the hottest summer on record in eastern Kentucky.",20
245328,MAGOFFIN (ZONE), ,08/11/2010,1100,Heat, , ,0,0,0,0,KY,EST-5, ,42052,Z,109,JKL,0,0,Official NWS Observations, , , , , , , , ,08/11/2010,1700, , , , ,"High temperatures were between 93 and 97 degrees with heat indices around 100.","Numerous locations experienced highs between 93 and 97 and heat indices around 100 degrees during the afternoon and early evening hours of August 11th.",21
261155,MAGOFFIN (ZONE), ,10/22/2010,0,Frost/Freeze, , ,0,0,0,0,KY,EST-5, ,45075,Z,109,JKL,0,0,COOP Observer, , , , , , , , ,10/22/2010,800, , , , ,"A widespread frost occurred.","A strong ridge of Canadian high pressure brought calm winds, clear skies, and cold temperatures to eastern Kentucky on October 22. The coldest locations had lows in the mid 20s. These conditions led to the occurrence of a widespread, killing frost.",22
261234,MAGOFFIN (ZONE), ,10/23/2010,0,Frost/Freeze, , ,0,0,0,0,KY,EST-5, ,45079,Z,109,JKL,0,0,COOP Observer, , , , , , , , ,10/23/2010,800, , , , ,"A widespread frost occurred.","Clear skies and calm winds set the stage for another widespread frost event across eastern Kentucky on October 23. Valley locations experienced the coldest temperatures and therefore had the most widespread and longest lasting frost.",23
261272,MAGOFFIN (ZONE), ,10/30/2010,0,Frost/Freeze, , ,0,0,0,0,KY,EST-5, ,45085,Z,109,JKL,0,0,COOP Observer, , , , , , , , ,10/30/2010,800, , , , ,"A widespread hard freeze occurred.","Clear skies and calm winds set the stage for a widespread hard freeze during the overnight and early morning hours of October 30th. Temperatures across all of eastern Kentucky dropped to at or below freezing. The valleys had the coldest temperatures as lows is those locations dropped into the mid 20s. This freeze effectively ended the 2010 growing season across eastern Kentucky.",24
269137,MAGOFFIN (ZONE), ,11/15/2010,100,Dense Fog, , ,0,0,0,0,KY,EST-5, ,45884,Z,109,JKL,0,0,ASOS, , , , , , , , ,11/15/2010,800, , , , ,"Widespread dense fog occurred.","Strong high pressure was still in control over the area and recent rainfall across eastern Kentucky left enough moisture in place for fog. The fog continued to persist till 9 AM shortly after sunrise. The fog coverage was areas and was dense so a Dense Fog Advisory was issued.",25
267906,MAGOFFIN (ZONE), ,12/15/2010,2100,Winter Storm, , ,0,0,0,0,KY,EST-5, ,45850,Z,109,JKL,0,0,Law Enforcement, , , , , , , , ,12/16/2010,1300, , , , ,"A quarter of an inch of ice accumulated in Royalton.","On December 16th, a low pressure system developed in the plains and then tracked east across the Tennessee Valley. The warm front moved just south of the forecast area. Wintry precipitation fell as freezing rain from the Tennessee border and north up to the Mountain Parkway. The northern counties such as Fleming, Bath, and Rowan received all snow from the event. South of the Mountain Parkway, heavy ice accumulations of 1/4 to 1/2 of an inch were common. This resulted in many homes being without power for an extended period of time. Perry county had more than 2000 residents without power. Breathitt county had 200 customers without power. Leslie county had nearly 4000 customers without power. The northern counties reported 4 to 6 inches of snow from the storm. The surface still had a persistent cold layer and freezing drizzle continued into the 17th. This prompted the issuance of a new winter weather advisory.",26
270077,MAGOFFIN (ZONE), ,12/15/2010,2200,Winter Weather, , ,0,0,0,0,KY,EST-5, ,45850,Z,109,JKL,0,0,Amateur Radio, , , , , , , , ,12/16/2010,1500, , , , ,"Two inches of snow fell in Salyersville. The snow changed over to sleet and freezing rain around 555 am.","On December 16th, a low pressure system developed in the plains and then tracked east across the Tennessee Valley. The warm front moved just south of the forecast area. Wintry precipitation fell as freezing rain from the Tennessee border and north up to the Mountain Parkway. The northern counties such as Fleming, Bath, and Rowan received all snow from the event. South of the Mountain Parkway, heavy ice accumulations of 1/4 to 1/2 of an inch were common. This resulted in many homes being without power for an extended period of time. Perry county had more than 2000 residents without power. Breathitt county had 200 customers without power. Leslie county had nearly 4000 customers without power. The northern counties reported 4 to 6 inches of snow from the storm. The surface still had a persistent cold layer and freezing drizzle continued into the 17th. This prompted the issuance of a new winter weather advisory.",27
272675,MAGOFFIN (ZONE), ,01/20/2011,1655,Winter Weather, , ,0,0,0,0,KY,EST-5, ,46328,Z,109,JKL,0,0,Law Enforcement, , , , , , , , ,01/20/2011,2134, , , , ,"The county dispatch office estimated that 3 inches of snow had fallen in Salyersville. Roads around the county were slick and hazardous.","A cold front began to move into the forecast area on the afternoon of January the 20th. The system was short in duration and only dropped 1 to 3 inches across the forecast area.",28
272694,MAGOFFIN (ZONE), ,01/20/2011,1815,Winter Weather, , ,0,0,0,0,KY,EST-5, ,46328,Z,109,JKL,0,0,Trained Spotter, , , , , , , , ,01/20/2011,2315, , , , ,"A trained spotter measured 2 inches of new snow in the town of Emma. The accumulated between 615 pm and 1115 pm.","A cold front began to move into the forecast area on the afternoon of January the 20th. The system was short in duration and only dropped 1 to 3 inches across the forecast area.",29
275937,MAGOFFIN (ZONE), ,02/09/2011,1400,Winter Weather, , ,0,0,0,0,KY,EST-5, ,46762,Z,109,JKL,0,0,NWS Employee, , , , , , , , ,02/09/2011,1855, , , , ,"An inch and a half of snow had fallen in Salyersville.","On February the 9th, a low pressure system developed in the lower Mississippi valley and moved northeast. Snow tracked from central Kentucky and Tennessee into eastern Kentucky and began to fall in eastern Kentucky by 2 PM. Most locations received 1 to 3 inches with locally higher amounts along the counties bordering Tennessee. The snow was heavy at times with the southern counties receiving the higher amounts.",30
276113,MAGOFFIN CO.,WONNIE,02/28/2011,736,Thunderstorm Wind,50.00, ,0,0,0,0,KY,EST-5,EG,47389,C,153,JKL,0,0,Amateur Radio, , , ,0,N,0,N,WONNIE,02/28/2011,746,37.82,-83.15,37.82,-83.15,"An amateur radio operator reported a wind gust of 53 mph in Wonnie. He also reported the 0.26 inches of rain had fallen in about 30 minutes at his location.","An early season severe weather outbreak occurred across eastern KY on February 28th. The first storms began moving across the area around 6am on Monday. The final warnings were issued around 915 am. The primary mode of severe weather was lines of strong to severe storms with bowing segments and embedded supercell structures. Most of the events were straight line wind damage, with a few reports of large hail and one confirmed short lived tornado that occurred in Wolfe county.",31
276335,MAGOFFIN CO.,KERNIE,02/28/2011,744,Thunderstorm Wind,55.00, ,0,0,10000,0,KY,EST-5,EG,47389,C,153,JKL,0,0,NWS Storm Survey, , , ,0,N,0,N,KERNIE,02/28/2011,749,37.75,-83.17,37.75,-83.17,"Several large trees were blown down or snapped off along the Mountain Parkway near mile marker 68 in Kernie.","An early season severe weather outbreak occurred across eastern KY on February 28th. The first storms began moving across the area around 6am on Monday. The final warnings were issued around 915 am. The primary mode of severe weather was lines of strong to severe storms with bowing segments and embedded supercell structures. Most of the events were straight line wind damage, with a few reports of large hail and one confirmed short lived tornado that occurred in Wolfe county.",32
276115,MAGOFFIN CO.,SALYERSVILLE,02/28/2011,748,Thunderstorm Wind,60.00, ,0,0,16000,0,KY,EST-5,EG,47389,C,153,JKL,0,0,Fire Department/Rescue, , , ,4,W,4,W,SALYERSVILLE,02/28/2011,754,37.75,-83.1432,37.75,-83.1432,"A double wide trailer was blown over and had the roof blown off. A single wide trailer had most its roof blown off as well. One large apple tree was uprooted as well. The damage occurred at Long Branch just west of Salyersville.","An early season severe weather outbreak occurred across eastern KY on February 28th. The first storms began moving across the area around 6am on Monday. The final warnings were issued around 915 am. The primary mode of severe weather was lines of strong to severe storms with bowing segments and embedded supercell structures. Most of the events were straight line wind damage, with a few reports of large hail and one confirmed short lived tornado that occurred in Wolfe county.",33
276116,MAGOFFIN CO.,SALYERSVILLE,02/28/2011,755,Thunderstorm Wind,50.00, ,0,0,5000,0,KY,EST-5,EG,47389,C,153,JKL,0,0,Emergency Manager, , , ,0,N,0,N,SALYERSVILLE,02/28/2011,800,37.75,-83.07,37.75,-83.07,"A trailer was blown over within the city limits of Salyersville.","An early season severe weather outbreak occurred across eastern KY on February 28th. The first storms began moving across the area around 6am on Monday. The final warnings were issued around 915 am. The primary mode of severe weather was lines of strong to severe storms with bowing segments and embedded supercell structures. Most of the events were straight line wind damage, with a few reports of large hail and one confirmed short lived tornado that occurred in Wolfe county.",34
301082,MAGOFFIN CO.,FLAT FORK,04/04/2011,1640,Thunderstorm Wind,52.00, ,0,0,0,0,KY,EST-5,EG,48325,C,153,JKL,0,0,Trained Spotter, , , ,0,N,0,N,FLAT FORK,04/04/2011,1641,37.83,-83.03,37.83,-83.03,"A trained storm spotter measured a thunderstorm wind gust of 60 mph near Flat Fork.","Widespread wind damage occurred across eastern Kentucky as a squall line moved across the area.",35
301083,MAGOFFIN CO.,SALYERSVILLE,04/04/2011,1640,Thunderstorm Wind,50.00, ,0,0,8000,0,KY,EST-5,EG,48325,C,153,JKL,0,0,Fire Department/Rescue, , , ,0,N,0,N,SALYERSVILLE,04/04/2011,1650,37.75,-83.07,37.75,-83.07,"Three trees were blown down across Salyersville and power lines were blown down along Route 40 to Paintsville.","Widespread wind damage occurred across eastern Kentucky as a squall line moved across the area.",36
301085,MAGOFFIN CO.,SALYERSVILLE,04/04/2011,1645,Thunderstorm Wind,50.00, ,0,0,2000,0,KY,EST-5,EG,48325,C,153,JKL,0,0,NWS Employee, , , ,4,ESE,4,ESE,SALYERSVILLE,04/04/2011,1655,37.7279,-83.0024,37.7279,-83.0024,"Large limbs were blown down along KY Hwy 114 between mile markers 0 and 1 four miles east southeast of Salyersville.","Widespread wind damage occurred across eastern Kentucky as a squall line moved across the area.",37
282931,MAGOFFIN CO.,HENDRICKS,04/08/2011,2137,Hail,1.00, ,0,0,0,0,KY,EST-5, ,48455,C,153,JKL,0,0,NWS Employee, , , ,0,N,0,N,HENDRICKS,04/08/2011,2147,37.72,-83.12,37.72,-83.12,"The hail was the size of nickels and quarters and were falling near the junction of routes 30 and 1090.","On the afternoon of April 8th, a weak upper level disturbance traveled over a ridge placed over the the TN and OH valleys. The wave was able to interact with the surface boundary and with sufficient daytime heating, was able to fire multiple supercell thunderstorms. The only threat from these storms was large hail. With the persistent instability and the boundary in place, the storms were able to continue to redevelop and train over the same areas repeatedly. Many of the cells displayed right turning characteristics. The long lived cells caused the event to last from 4pm in the afternoon until 1am in the morning and resulted in over 25 severe thunderstorm warnings.",38
282933,MAGOFFIN CO.,ROYALTON,04/08/2011,2151,Hail,1.00, ,0,0,0,0,KY,EST-5, ,48455,C,153,JKL,0,0,Trained Spotter, , , ,3,S,3,S,ROYALTON,04/08/2011,2201,37.6366,-83.02,37.6366,-83.02,"The hail was the size of quarters.","On the afternoon of April 8th, a weak upper level disturbance traveled over a ridge placed over the the TN and OH valleys. The wave was able to interact with the surface boundary and with sufficient daytime heating, was able to fire multiple supercell thunderstorms. The only threat from these storms was large hail. With the persistent instability and the boundary in place, the storms were able to continue to redevelop and train over the same areas repeatedly. Many of the cells displayed right turning characteristics. The long lived cells caused the event to last from 4pm in the afternoon until 1am in the morning and resulted in over 25 severe thunderstorm warnings.",39
296115,MAGOFFIN CO.,NETTY,04/09/2011,1327,Thunderstorm Wind,52.00, ,0,0,6000,0,KY,EST-5,EG,48478,C,153,JKL,0,0,County Official, , , ,1,W,1,W,NETTY,04/09/2011,1337,37.75,-83.24,37.75,-83.24,"There were trees and debris in the roadway on KY 2022 between mile markers 0 and 2.","On April 9th, an stationary boundary draped across eastern Kentucky and a reinvigorated MCS moving into eastern Kentucky combined with afternoon heating set the stage for a high moderate severe weather event for east Kentucky. The convective complex produced multiple instances of left moving supercells, fully developed strong supercells and even a squall line developed and moved into east Kentucky. The event set the stage for multiple severe thunderstorm warnings for winds and hail. Some cells had rotation at multiple levels and quite a few tornado warnings were issued. There was even a need for a flash flood warning as some areas received heavy rain where it occurred the day before.",40
296116,MAGOFFIN CO.,SALYERSVILLE,04/09/2011,1330,Thunderstorm Wind,52.00, ,0,0,0,0,KY,EST-5,EG,48478,C,153,JKL,0,0,County Official, , , ,1,WNW,1,WNW,SALYERSVILLE,04/09/2011,1340,37.76,-83.09,37.76,-83.09,"There were trees blown down and debris in the roadway on KY 2019 between mile markers 1 and 5.","On April 9th, an stationary boundary draped across eastern Kentucky and a reinvigorated MCS moving into eastern Kentucky combined with afternoon heating set the stage for a high moderate severe weather event for east Kentucky. The convective complex produced multiple instances of left moving supercells, fully developed strong supercells and even a squall line developed and moved into east Kentucky. The event set the stage for multiple severe thunderstorm warnings for winds and hail. Some cells had rotation at multiple levels and quite a few tornado warnings were issued. There was even a need for a flash flood warning as some areas received heavy rain where it occurred the day before.",41
296117,MAGOFFIN CO.,LEATHA,04/09/2011,1335,Thunderstorm Wind,52.00, ,0,0,0,0,KY,EST-5,EG,48478,C,153,JKL,0,0,County Official, , , ,0,N,0,N,LEATHA,04/09/2011,1345,37.82,-83.02,37.82,-83.02,"There were trees down and debris in roadway on KY 1081 between mile makers 8 and 9.","On April 9th, an stationary boundary draped across eastern Kentucky and a reinvigorated MCS moving into eastern Kentucky combined with afternoon heating set the stage for a high moderate severe weather event for east Kentucky. The convective complex produced multiple instances of left moving supercells, fully developed strong supercells and even a squall line developed and moved into east Kentucky. The event set the stage for multiple severe thunderstorm warnings for winds and hail. Some cells had rotation at multiple levels and quite a few tornado warnings were issued. There was even a need for a flash flood warning as some areas received heavy rain where it occurred the day before.",42
296085,MAGOFFIN CO.,CYRUS,04/09/2011,1358,Thunderstorm Wind,52.00, ,0,0,0,0,KY,EST-5,EG,48478,C,153,JKL,0,0,Emergency Manager, , , ,1,W,1,W,CYRUS,04/09/2011,1405,37.8,-83.04,37.8,-83.04,"The Magoffin emergency manager reported a trailer was blown over off of route 3334 near 1081.","On April 9th, an stationary boundary draped across eastern Kentucky and a reinvigorated MCS moving into eastern Kentucky combined with afternoon heating set the stage for a high moderate severe weather event for east Kentucky. The convective complex produced multiple instances of left moving supercells, fully developed strong supercells and even a squall line developed and moved into east Kentucky. The event set the stage for multiple severe thunderstorm warnings for winds and hail. Some cells had rotation at multiple levels and quite a few tornado warnings were issued. There was even a need for a flash flood warning as some areas received heavy rain where it occurred the day before.",43
306508,MAGOFFIN CO.,FORAKER,05/22/2011,1550,Hail,1.00, ,0,0,0,0,KY,EST-5, ,51537,C,153,JKL,0,0,Law Enforcement, , , ,0,N,0,N,FORAKER,05/22/2011,1555,37.67,-83.13,37.67,-83.13,"","Numerous strong to severe thunderstorms brought multiple rounds of severe weather to eastern KY during the afternoon and early evening hours of May 22nd. Numerous reports of 0.25 to 0.75 inch diameter hail and downed trees were received at the Jackson weather office on this day.",44
326139,MAGOFFIN CO.,SALYERSVILLE,06/21/2011,1953,Thunderstorm Wind,50.00, ,0,0,1000,0,KY,EST-5,EG,54262,C,153,JKL,0,0,Law Enforcement, , , ,1,W,1,W,SALYERSVILLE,06/21/2011,1959,37.75,-83.0883,37.75,-83.0883,"A tree was blown down on Hwy 460W.","During the late afternoon and evening hours of June 21st, numerous strong to severe thunderstorms caused widespread wind damage across a large portion of eastern KY.",45
